produktname;einzelpreis;menge;datum
Wilkinson Sword Hydro 5 Rasierklingen, 4 St;12,95;1;2025-07-03
Wilkinson Sword Hydro 5 Rasierklingen, 4 St;12,95;1;2025-12-30
Denkmit Vollwaschmittel Pulver, 20 WL;3,45;1;2026-01-29
dmBio Kaffee gemahlen, 500 g;4,99;1;2026-02-08
Profissimo Toilettenpapier, 8 Rollen;3,95;1;2026-03-05
dmBio Kaffee gemahlen, 500 g;4,99;1;2026-03-10
Denkmit Vollwaschmittel Pulver, 20 WL;3,45;1;2026-03-10
Profissimo Toilettenpapier, 8 Rollen;3,95;1;2026-03-30
sebamed Zahncreme Extra Sanft, 75 ml;2,95;1;2026-03-30
dmBio Kaffee gemahlen, 500 g;4,99;1;2026-04-09
Denkmit Vollwaschmittel Pulver, 20 WL;3,45;1;2026-04-19
NIVEA Duschgel Creme Soft, 250 ml;1,55;1;2026-04-23
Profissimo Toilettenpapier, 8 Rollen;3,95;1;2026-04-24
dmBio Kaffee gemahlen, 500 g;4,99;1;2026-05-09
sebamed Zahncreme Extra Sanft, 75 ml;2,95;1;2026-05-14
Profissimo Toilettenpapier, 8 Rollen;3,95;1;2026-05-19
NIVEA Duschgel Creme Soft, 250 ml;1,55;1;2026-05-28
Denkmit Spülmittel Original, 1 l;1,15;1;2026-06-01
Perfecto Katzen-Nassfutter Rind, 400 g;0,89;4;2026-06-10
Perfecto Katzen-Nassfutter Rind, 400 g;0,89;4;2026-06-24
sebamed Zahncreme Extra Sanft, 75 ml;2,95;1;2026-06-28
NIVEA Duschgel Creme Soft, 250 ml;1,55;1;2026-07-03
Perfecto Katzen-Nassfutter Rind, 400 g;0,89;4;2026-07-08
